    pL,                   dL,                      pR,              dR,                     du,                     PI,                DIL,          DIR
      0.001000        0.100000        0.999000        0.900000        1.600000        0.028841        0.499544        0.107324
      0.001000        0.100000        0.999000        0.900000        1.700000        0.024673        0.485892        0.097729
      0.001000        0.100000        0.999000        0.900000        1.800000        0.020947        0.470113        0.088587
      0.001000        0.100000        0.999000        0.900000        1.900000        0.017637        0.451928        0.079905
      0.001000        0.100000        0.999000        0.900000        2.000000        0.014719        0.431069        0.071687
      0.001000        0.100000        0.999000        0.900000        2.100000        0.012164        0.407313        0.063941
      0.001000        0.100000        0.999000        0.900000        2.200000        0.009948        0.380532        0.056673
      0.001000        0.100000        0.999000        0.900000        2.300000        0.008042        0.350754        0.049887
      0.001000        0.100000        0.999000        0.900000        2.400000        0.006422        0.318231        0.043586
      0.001000        0.100000        0.999000        0.900000        2.500000        0.005059        0.283502        0.037774
      0.001000        0.100000        0.999000        0.900000        2.600000        0.003927        0.247424        0.032451
      0.001000        0.100000        0.999000        0.900000        2.700000        0.003001        0.211142        0.027615
      0.001000        0.100000        0.999000        0.900000        2.800000        0.002254        0.175981        0.023261
      0.001000        0.100000        0.999000        0.900000        2.900000        0.001663        0.143265        0.019381
      0.001000        0.100000        0.999000        0.900000        3.000000        0.001203        0.114108        0.015961
      0.001000        0.100000        0.999000        0.900000        3.100000        0.000852        0.089227        0.012980
      0.001000        0.100000        0.999000        0.900000        3.200000        0.000590        0.068609        0.010410
      0.001000        0.100000        0.999000        0.900000        3.300000        0.000398        0.051763        0.008217
      0.001000        0.100000        0.999000        0.900000        3.400000        0.000260        0.038208        0.006367
